time,time
2024-11-15 12:23:30,2.906653
2024-11-15 12:23:28,2.000035
2024-11-15 12:23:26,2.593374
2024-11-15 12:23:24,3.186695
2024-11-15 12:23:22,5.000035
2024-11-15 12:23:20,3.417689
2024-11-15 12:23:18,2.255521
2024-11-15 12:23:16,1.5466378
2024-11-15 12:23:14,2.14007
2024-11-15 12:23:12,4.2311
2024-11-15 12:23:10,11.333337
2024-11-15 12:23:08,7.872211
2024-11-15 12:23:06,5.203466
2024-11-15 12:23:04,3.219872
2024-11-15 12:23:02,5.263511
2024-11-15 12:23:00,11.554699
2024-11-15 12:22:58,13.415206
2024-11-15 12:22:56,5.013504
2024-11-15 12:22:54,10.000073
2024-11-15 12:22:52,7.82432
2024-11-15 12:22:50,7.018183
2024-11-15 12:22:48,13.666926
2024-11-15 12:22:46,9.710592
2024-11-15 12:22:44,6.999839
2024-11-15 12:22:42,6.999979
2024-11-15 12:22:40,7.98897
2024-11-15 12:22:38,8.137569
2024-11-15 12:22:36,3.840416
2024-11-15 12:22:34,11.112908
2024-11-15 12:22:32,2.795572
2024-11-15 12:22:30,5.666801
2024-11-15 12:22:28,7.348002
2024-11-15 12:22:26,5.631935
2024-11-15 12:22:24,3.884559
2024-11-15 12:22:22,6.326727
2024-11-15 12:22:20,10.355767
2024-11-15 12:22:18,18.66694
2024-11-15 12:22:16,17.67791
2024-11-15 12:22:14,16.097253
2024-11-15 12:22:12,7.333062
2024-11-15 12:22:10,5.157687
2024-11-15 12:22:08,4.00922
2024-11-15 12:22:06,7.333316
2024-11-15 12:22:04,5.948827
2024-11-15 12:22:02,6.027789
2024-11-15 12:22:00,15.314396
2024-11-15 12:21:58,8.666756
2024-11-15 12:21:56,13.021497
2024-11-15 12:21:54,16.192278
2024-11-15 12:21:52,17.99401
2024-11-15 12:21:50,14.733421
2024-11-15 12:21:48,7.654047
2024-11-15 12:21:46,4.395649
2024-11-15 12:21:44,5.000038
2024-11-15 12:21:42,6.7801
2024-11-15 12:21:40,7.579754
2024-11-15 12:21:38,5.3678
